column,min,max,mean,median,std,q1,q3,outlier_count,outlier_percent,cv
TIME OCC,1.0,2359.0,1339.9003523414638,1420.0,651.0612704853015,900.0,1900.0,0,0.0,0.4859027534007121
AREA,1.0,21.0,10.691738532981887,11.0,6.110255138731477,5.0,16.0,0,0.0,0.571493131812245
Rpt Dist No,101.0,2199.0,1115.6332355215122,1139.0,611.1604874252846,587.0,1613.0,0,0.0,0.547814880344249
Part 1-2,1.0,2.0,1.4003478638117157,1.0,0.4899690710958855,1.0,2.0,0,0.0,0.34989096906407285
Crm Cd,110.0,956.0,500.1568491658134,442.0,205.27305254055318,331.0,626.0,0,0.0,0.41041735784068106
Vict Age,-4.0,120.0,28.917060948804515,30.0,21.992719432533924,0.0,44.0,1,9.950337863722163e-05,0.7605447687602271
Premis Cd,101.0,976.0,305.62014378467126,203.0,219.30213677605508,101.0,501.0,0,0.0,0.7175644054750767
Weapon Used Cd,101.0,516.0,363.95529981940246,400.0,123.73452778472611,311.0,400.0,40640,12.418754029830678,0.33997177083593555
Crm Cd 1,110.0,956.0,499.9173983561862,442.0,205.07360172919252,331.0,626.0,0,0.0,0.41021497232044646
Crm Cd 2,210.0,999.0,958.1012579525737,998.0,110.35434750080084,998.0,998.0,13839,20.01012145748988,0.11518025530685966
Crm Cd 3,310.0,999.0,984.0159896283492,998.0,52.35098221320505,998.0,998.0,272,11.754537597234227,0.05320135319445101
Crm Cd 4,821.0,999.0,991.21875,998.0,27.069850123602194,998.0,998.0,8,12.5,0.02730966310272298
LAT,0.0,34.3343,33.998208328432796,34.0589,1.6107125009118135,34.0147,34.1649,30962,3.0808236093656562,0.04737639364262528
LON,-118.6676,0.0,-118.09087135566388,-118.3225,5.5823859394369295,-118.4305,-118.2739,2269,0.22577316612785586,0.04727195146713757
